lr,hidden_dim,strict_mode,test_loss,test_tot_acc,test_change_acc
0.01,32,False,0.4155495297163725,0.8571428571428571,0.1875
0.01,32,True,0.41565304063260555,0.8214285714285714,0.21875
0.01,64,False,0.47160010784864426,0.826530612244898,0.09375
0.01,64,True,0.4276066944003105,0.8367346938775511,0.15625
0.01,128,False,0.4397279657423496,0.8494897959183674,0.15625
0.01,128,True,0.42756483517587185,0.8290816326530612,0.0625
0.001,32,False,0.40473249182105064,0.8647959183673469,0.1875
0.001,32,True,0.406971225515008,0.8112244897959183,0.21875
0.001,64,False,0.4063869211822748,0.8596938775510204,0.1875
0.001,64,True,0.40585602074861526,0.8367346938775511,0.21875
0.001,128,False,0.40756467543542385,0.8596938775510204,0.1875
0.001,128,True,0.4076915867626667,0.8443877551020408,0.1875
0.0001,32,False,0.4050181098282337,0.8596938775510204,0.15625
0.0001,32,True,0.4055081885308027,0.8137755102040817,0.21875
0.0001,64,False,0.40636379085481167,0.8622448979591837,0.15625
0.0001,64,True,0.40638467669487,0.8137755102040817,0.1875
0.0001,128,False,0.4060266390442848,0.8622448979591837,0.1875
0.0001,128,True,0.40608779713511467,0.8163265306122449,0.15625
