lr,hidden_dim,strict_mode,test_loss,test_tot_acc,test_change_acc
0.01,32,False,0.6078498810529709,0.6632653061224489,0.40625
0.01,32,True,0.5635767057538033,0.30612244897959184,0.40625
0.01,64,False,0.5691429302096367,0.7525510204081632,0.5625
0.01,64,True,0.6226985529065132,0.3010204081632653,0.375
0.01,128,False,0.8872297704219818,0.29591836734693877,0.28125
0.01,128,True,0.875939629971981,0.7040816326530612,0.71875
0.001,32,False,0.5663318336009979,0.7346938775510204,0.53125
0.001,32,True,0.5682264789938927,0.32653061224489793,0.46875
0.001,64,False,0.5667547658085823,0.7372448979591837,0.53125
0.001,64,True,0.5671403706073761,0.31887755102040816,0.46875
0.001,128,False,0.5680917277932167,0.7551020408163265,0.5625
0.001,128,True,0.5675313398241997,0.30612244897959184,0.4375
0.0001,32,False,0.634677417576313,0.6479591836734694,0.375
0.0001,32,True,0.6277704313397408,0.413265306122449,0.625
0.0001,64,False,0.6265274435281754,0.6581632653061225,0.375
0.0001,64,True,0.6195592880249023,0.39285714285714285,0.625
0.0001,128,False,0.608951598405838,0.6887755102040817,0.4375
0.0001,128,True,0.5920998379588127,0.35459183673469385,0.5625
