lr,hidden_dim,strict_mode,test_loss,test_tot_acc,test_change_acc
0.01,32,False,0.5098814368247986,0.7908163265306123,0.4375
0.01,32,True,0.5435476712882519,0.6632653061224489,0.28125
0.01,64,False,0.5112632513046265,0.7806122448979592,0.40625
0.01,64,True,0.5666432455182076,0.6709183673469388,0.34375
0.01,128,False,0.5462894774973392,0.7729591836734694,0.3125
0.01,128,True,0.5266548581421375,0.7627551020408163,0.46875
0.001,32,False,0.4968581572175026,0.7729591836734694,0.34375
0.001,32,True,0.4974947012960911,0.7551020408163265,0.40625
0.001,64,False,0.4960377514362335,0.7755102040816326,0.375
0.001,64,True,0.4960692673921585,0.7576530612244898,0.40625
0.001,128,False,0.49726394936442375,0.7908163265306123,0.4375
0.001,128,True,0.49713848903775215,0.7551020408163265,0.3125
0.0001,32,False,0.4923240691423416,0.7678571428571429,0.3125
0.0001,32,True,0.4949045516550541,0.75,0.4375
0.0001,64,False,0.4908796586096287,0.7780612244897959,0.3125
0.0001,64,True,0.4910818263888359,0.7193877551020408,0.40625
0.0001,128,False,0.4912811927497387,0.7729591836734694,0.3125
0.0001,128,True,0.49029819294810295,0.7270408163265306,0.40625
