lr,hidden_dim,strict_mode,test_loss,test_tot_acc,test_change_acc
0.01,32,False,0.5650435984134674,0.7576530612244898,0.375
0.01,32,True,0.621323473751545,0.3877551020408163,0.28125
0.01,64,False,0.8875384032726288,0.29591836734693877,0.28125
0.01,64,True,0.5585088655352592,0.29846938775510207,0.4375
0.01,128,False,0.9872817471623421,0.29591836734693877,0.28125
0.01,128,True,0.8874117136001587,0.7040816326530612,0.71875
0.001,32,False,0.49995338916778564,0.7653061224489796,0.5
0.001,32,True,0.5049249902367592,0.6607142857142857,0.40625
0.001,64,False,0.516098290681839,0.7627551020408163,0.53125
0.001,64,True,0.5057679750025272,0.6454081632653061,0.5
0.001,128,False,0.5120918191969395,0.7704081632653061,0.5625
0.001,128,True,0.5057062804698944,0.6275510204081632,0.46875
0.0001,32,False,0.4950869642198086,0.7551020408163265,0.4375
0.0001,32,True,0.5020159557461739,0.6913265306122449,0.40625
0.0001,64,False,0.5035005696117878,0.7627551020408163,0.5625
0.0001,64,True,0.49531011283397675,0.6989795918367347,0.375
0.0001,128,False,0.507638230919838,0.7729591836734694,0.53125
0.0001,128,True,0.5073973909020424,0.6428571428571429,0.46875
