lr,hidden_dim,strict_mode,test_loss,test_tot_acc,test_change_acc
0.01,32,FALSE,0.3571929484605789,0.908163265,0.03125
0.01,32,TRUE,0.3583837244659662,0.905612245,0.03125
0.01,64,FALSE,0.364950905,0.908163265,0.03125
0.01,64,TRUE,0.36184938810765743,0.908163265,0.03125
0.01,128,FALSE,0.36643262580037117,0.908163265,0.03125
0.01,128,TRUE,0.36591493897140026,0.903061224,0
0.001,32,FALSE,0.3518003039062023,0.908163265,0.03125
0.001,32,TRUE,0.35126456432044506,0.903061224,0
0.001,64,FALSE,0.3536041397601366,0.908163265,0.03125
0.001,64,TRUE,0.35326612554490566,0.908163265,0.03125
0.001,128,FALSE,0.3547873254865408,0.908163265,0.03125
0.001,128,TRUE,0.35431675612926483,0.908163265,0.03125
0.0001,32,FALSE,0.3497430495917797,0.903061224,0
0.0001,32,TRUE,0.35004667565226555,0.905612245,0.03125
0.0001,64,FALSE,0.34759013541042805,0.903061224,0
0.0001,64,TRUE,0.3488208223134279,0.908163265,0.03125
0.0001,128,FALSE,0.34803311340510845,0.908163265,0.03125
0.0001,128,TRUE,0.34783731028437614,0.903061224,0
