lr,hidden_dim,strict_mode,test_loss,test_tot_acc,test_change_acc
0.01,32,False,0.5826081410050392,0.7627551020408163,0.59375
0.01,32,True,0.6323774307966232,0.4005102040816326,0.625
0.01,64,False,0.5925615951418877,0.7372448979591837,0.46875
0.01,64,True,0.5907142013311386,0.33418367346938777,0.59375
0.01,128,False,1.2123402431607246,0.29591836734693877,0.28125
0.01,128,True,1.5856892466545105,0.29591836734693877,0.28125
0.001,32,False,0.5610129162669182,0.7551020408163265,0.5625
0.001,32,True,0.5600173100829124,0.288265306122449,0.4375
0.001,64,False,0.5632132515311241,0.7576530612244898,0.5625
0.001,64,True,0.5634933337569237,0.288265306122449,0.4375
0.001,128,False,0.5653559863567352,0.7627551020408163,0.59375
0.001,128,True,0.5652414932847023,0.28316326530612246,0.40625
0.0001,32,False,0.6383014172315598,0.6658163265306123,0.34375
0.0001,32,True,0.62809669226408,0.3520408163265306,0.65625
0.0001,64,False,0.6129668429493904,0.6913265306122449,0.34375
0.0001,64,True,0.6204513534903526,0.34438775510204084,0.65625
0.0001,128,False,0.5844468623399734,0.7270408163265306,0.46875
0.0001,128,True,0.590300053358078,0.29081632653061223,0.53125
