lr,hidden_dim,strict_mode,test_loss,test_tot_acc,test_change_acc
0.01,32,False,0.5935581997036934,0.7678571428571429,0.71875
0.01,32,True,0.5205972716212273,0.7321428571428571,0.5
0.01,64,False,0.5351836234331131,0.7678571428571429,0.71875
0.01,64,True,0.5479162745177746,0.32653061224489793,0.46875
0.01,128,False,0.6062747836112976,0.7244897959183674,0.4375
0.01,128,True,0.8890185356140137,0.7040816326530612,0.71875
0.001,32,False,0.5360061302781105,0.7270408163265306,0.5
0.001,32,True,0.5369834005832672,0.6403061224489796,0.6875
0.001,64,False,0.5362246967852116,0.7295918367346939,0.46875
0.001,64,True,0.535053838044405,0.6505102040816326,0.65625
0.001,128,False,0.5216963700950146,0.7627551020408163,0.6875
0.001,128,True,0.5199243202805519,0.6530612244897959,0.5
0.0001,32,False,0.6016727685928345,0.6862244897959183,0.4375
0.0001,32,True,0.5818710476160049,0.5357142857142857,0.625
0.0001,64,False,0.5740229561924934,0.6938775510204082,0.46875
0.0001,64,True,0.5868442133069038,0.42346938775510207,0.5625
0.0001,128,False,0.5347391217947006,0.7346938775510204,0.53125
0.0001,128,True,0.5352049730718136,0.625,0.59375
