lr,hidden_dim,strict_mode,test_loss,test_tot_acc,test_change_acc
0.01,32,False,0.3607042506337166,0.9081632653061225,0.03125
0.01,32,True,0.3607376404106617,0.9030612244897959,0.0
0.01,64,False,0.3551145885139704,0.9081632653061225,0.03125
0.01,64,True,0.3747155535966158,0.8903061224489796,0.03125
0.01,128,False,0.3695320896804333,0.9081632653061225,0.03125
0.01,128,True,0.36877014860510826,0.9081632653061225,0.03125
0.001,32,False,0.35180131904780865,0.9081632653061225,0.03125
0.001,32,True,0.35117926448583603,0.9030612244897959,0.0
0.001,64,False,0.35287706181406975,0.9081632653061225,0.03125
0.001,64,True,0.35349003598093987,0.9081632653061225,0.03125
0.001,128,False,0.3544771168380976,0.9081632653061225,0.03125
0.001,128,True,0.3540663905441761,0.9081632653061225,0.03125
0.0001,32,False,0.35029872320592403,0.9030612244897959,0.0
0.0001,32,True,0.350520733743906,0.9081632653061225,0.03125
0.0001,64,False,0.34802967868745327,0.9030612244897959,0.0
0.0001,64,True,0.34779532067477703,0.9081632653061225,0.03125
0.0001,128,False,0.34806069917976856,0.9081632653061225,0.03125
0.0001,128,True,0.3480430208146572,0.9030612244897959,0.0
